name,publication,star,numbers
"

    Beginning Ubuntu LTS Server Administration


    
       : From Novice to Professional, Second Edition (Expert's Voice in Linux) 
 : From Novice to Professional, Second Edition (Expert's Voice in Linux) ","
        
  
  Sander van Vugt / Apress / 2008-09-16 / USD 39.99

      ",0,"
        (目前无人评价)
    "
"

    Official Ubuntu Book, The (4th Edition)


    

  ","
        
  
  Benjamin Mako Hill、Matthew Helmke、Corey Burger / Prentice Hall / 2009-07-09 / USD 34.99

      ",0,"
        (少于10人评价)
    "
"

    Professional Ubuntu Mobile Development


    

  ","
        
  
  Belem, Rodrigo Cesar Lopes / 2009-11 / 434.00元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed 2015 Edition


    
       : Covering 14.10 and 15.04, Tenth Edition 
 : Covering 14.10 and 15.04, Tenth Edition ","
        
  
  Matthew Helmke / Sams Publishing / 2014-11-21 / USD 54.99

      ",0,"
        (目前无人评价)
    "
"

    A Practical Guide to Ubuntu Linux


    
       : Fourth Edition 
 : Fourth Edition ","
        
  
  Mark G. Sobell / Prentice Hall / 2014-12-23 / CAD 68.99

      ",0,"
        (少于10人评价)
    "
"

    Troubleshooting Ubuntu Server


    
       : Make life at the office easier for server administrators by helping them build resilient Ubuntu  
 : Make life at the office easier for server administrators by helping them build resilient Ubuntu  ","
        
  
  Skanda Bhargav / Packt Publishing / 2015-10-1 / USD 44.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Server Cookbook


    
       : Arm yourself to make the most of the versatile, powerful Ubuntu Server with over 100 hands-on re 
 : Arm yourself to make the most of the versatile, powerful Ubuntu Server with over 100 hands-on re ","
        
  
  Uday R. Sawant / Packt Publishing / 2016-6-30 / USD 49.99

      ",0,"
        (少于10人评价)
    "
"

    Ubuntu Linux基础教程


    

  ","
        
  
  王宏勇 / 清华大学出版社 / 2015-11 / 44.50

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Server Book


    

  ","
        
  
  Kyle Rankin、Benjamin Mako Hill / Prentice Hall / 2013-8-4 / CAD 46.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Certified Professional


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu User


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu-Restricted-Extras


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Dell Ubuntu Netbook Remix


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Jeos


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Minimal Desktop


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Mobile


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu One


    

  ","
        
  
  Surhone, Lambert M.; Timpledon, Miriam T.; Marseken, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Miller, Frederic P.; Vandome, Agnes F.; McBrewster, John

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Miller, Frederic P.; Vandome, Agnes F.; McBrewster, John

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Transformational Approach


    

  ","
        
  
  Theletsane, Kula Ishmael

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu GNU/Linux


    

  ","
        
  
  Marcus Fischer

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Russell, Jesse; Cohn, Ronald;

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Russell, Jesse; Cohn, Ronald;

      ",0,"
        (目前无人评价)
    "
"

    UBUNTU


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    UBUNTU ONE


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    UBUNTU USER


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    UBUNTU CERTIFIED PROFESSIONAL


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    DELL UBUNTU NETBOOK REMIX


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    UBUNTU MOBILE


    

  ","
        
  
  BOOK ON DEMAND POD

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Jeos


    

  ","
        
  
  Russell, Jesse; Cohn, Ronald; / Book on Demand Ltd.

      ",0,"
        (目前无人评价)
    "
"

    Minimal Desktop for Ubuntu


    

  ","
        
  
  Russell, Jesse; Cohn, Ronald; / Book on Demand Ltd.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Live USB Creator


    

  ","
        
  
  Surhone, Lambert M.; Tennoe, Mariam T.; Henssonow, Susan F.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Burning


    

  ","
        
  
  Tagarira, Tendai Frank

      ",0,"
        (目前无人评价)
    "
"

    The Ubuntu Handbook - The How to on Ubuntu, Complete Expert's Hints and Tips Guide by the Leading Experts, Everything You Need to Know about Ubuntu


    

  ","
        
  
  Bell, Dan

      ",0,"
        (目前无人评价)
    "
"

    Understanding Organizational Leadership Through Ubuntu


    

  ","
        
  
  Malunga, Chiku

      ",0,"
        (目前无人评价)
    "
"

    Understanding Organizational Leadership Through Ubuntu


    

  ","
        
  
  Malunga, Chiku

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 12.04 Desktop


    

  ","
        
  
  Petersen, Richard

      ",0,"
        (目前无人评价)
    "
"

    Jesus and Ubuntu Exploring the Social Impact of Christianity and Africa


    

  ","
        
  
  Ntarangwi, Mwenda

      ",0,"
        (目前无人评价)
    "
"

    The Ubuntu God


    

  ","
        
  
  Paul, Samuel A.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.04 Installation Guide


    

  ","
        
  
  Ubuntu Documentation Project

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.04 Packaging Guide


    

  ","
        
  
  Ubuntu Documentation Project

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.04 Server Guide


    

  ","
        
  
  Ubuntu Documentation Project

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.10 Installation Guide


    

  ","
        
  
  Ubuntu Documentation Project

      ",0,"
        (目前无人评价)
    "
