name,publication,star,numbers
"

    Ubuntu Certified Professional Study Guide (Exam LPI 199) (Book & CD Rom)


    

  ","
        
  
  Michael Jang / McGraw-Hill Osborne Media / 2008-08-05 / USD 49.99

      ",0,"
        (目前无人评价)
    "
"

    Das offizielle Ubuntu-Buch


    

  ","
        
  
  Benjamin M. Hill, Jono Bacon,、Corey Burger / Addison-Wesley, München / Dez. 2006 / EUR 39,95

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 7.10 Linux Unleashed (3rd Edition) (Unleashed)


    

  ","
        
  
  Andrew Hudson、Paul Hudson / Sams / 2008-01-07 / USD 49.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Clemons, Charlie / Protea Pub / 15

      ",0,"
        (目前无人评价)
    "
"

    Introducing Ubuntu


    

  ","
        
  
  Proffitt, Brian / Course Technology Ptr / 2007-6 / 237.00元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux For Dummies


    

  ","
        
  
  Paul G. Sery / For Dummies / 2007-04-30 / USD 29.99

      ",0,"
        (目前无人评价)
    "
"

    El Libro oficial de Ubuntu/ The Official Book of Ubuntu (Spanish Edition)


    

  ","
        
  
  Jono Bacon、Benjamin Mako Hill、Corey Burger、Ivan Krstic、Jonathan Jesse / Anaya Multimedia / 2006-06-30 / USD 66.95

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.04 Server


    
       : Administration and Reference 
 : Administration and Reference ","
        
  
  Richard L Petersen / surfing turtle press / 2009-06-08 / USD 38.00

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.04 Desktop Guide


    

  ","
        
  
  Ubuntu Documentation Project / Fultus Corporation / 2009-08-05 / USD 23.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Server VTC Training CD


    

  ","
        
  
  Michael Jang / Virtual Training Company, Inc. / 2009-2-19 / USD 99.95

      ",0,"
        (目前无人评价)
    "
"

    El libro oficial de Ubuntu 2009/ The Official Book of Ubuntu 2009 (Spanish Edition)


    

  ","
        
  
  Benjamin Mako Hill、Corey Burger、Jonathan Jesse、Jono Bacon / Anaya Multimedia / 2009-01-05 / USD 68.95

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Server Book


    

  ","
        
  
  Kyle Rankin、Benjamin Hill / Prentice Hall / 2009-7-27 / USD 39.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Hacks


    
       : Rough Cuts Version 
 : Rough Cuts Version ","
        
  
  Kyle Rankin / Oreilly & Associates Inc / 2006-06

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Netbooks


    
       : The Path to Low-Cost Computing 
 : The Path to Low-Cost Computing ","
        
  
  Sander van Vugt / Apress / 2009-09-01 / USD 24.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 9.10 Desktop Guide


    

  ","
        
  
  Ubuntu Documentation Project / Fultus Corporation / 2009-11-11 / USD 24.99

      ",0,"
        (目前无人评价)
    "
"

    Sundowner Ubuntu


    

  ","
        
  
  Bidulka, Anthony / 2007-11 / $ 18.02

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu on a Dime


    

  ","
        
  
  Kelly, J. Floyd / 2009-6 / $ 28.24

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu for Non-Geeks


    

  ","
        
  
  Grant, Rickford / 0.00 元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Tutu, Desmond (FRW)/ Battle, Michael / 157.00元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu


    

  ","
        
  
  Tutu, Desmond (FRW)/ Battle, Michael / 25

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux Starter Kit


    

  ","
        
  
  Sams Publishing / 2009-12 / $ 45.19

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 8.10 Linux Bible


    

  ","
        
  
  Von Hagen, William / 2009-5 / $ 56.49

      ",0,"
        (目前无人评价)
    "
"

    The Human Person, African Ubuntu and the Dialogue of Civilisations


    

  ","
        
  
  Vervliet, Chris / 155.00 元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux 100 Success Secrets, Tips, Tricks, Hints and Hacks Toolbox and Practical Guide


    

  ","
        
  
  Vaughn, Charles / 19.95

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Server Book, Third Edition


    

  ","
        
  
  Kyle Rankin、Benjamin Mako Hill / 2013-7-25

      ",0,"
        (目前无人评价)
    "
"

    Linux Web Server Development: A Step-by-Step Guide for Ubuntu, Fedora, and other Linux Distributions


    

  ","
        
  
  Christos Karayiannis、Andrew Swartzbaugh / CreateSpace Independent Publishing Platform / 2015-6-2 / USD 13.09

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 15.04 Server with systemd: Administration and Reference


    

  ","
        
  
  Richard Petersen / surfing turtle press / 2015-5-9 / USD 42.00

      ",0,"
        (目前无人评价)
    "
"

    The Official Ubuntu Book (9th Edition)


    

  ","
        
  
  Matthew Helmke、Elizabeth K. Joseph、Jose Antonio Rey / Prentice Hall / 2016-7-30 / USD 24.28

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed 2017 Edition


    
       : Covering 16.10, 17.04, 17.10 
 : Covering 16.10, 17.04, 17.10 ","
        
  
  Matthew Helmke / Sams Publishing / 2016-10-29 / USD 54.99

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Unleashed 2014 Edition


    
       : Covering 13.10 and 14.04 
 : Covering 13.10 and 14.04 ","
        
  
  Helmke, Matthew / Sams

      ",0,"
        (目前无人评价)
    "
"

    Sundowner Ubuntu


    

  ","
        
  
  Bidulka, Anthony / Insomniac Press

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 12.10 Desktop


    

  ","
        
  
  Petersen, Richard / 2012-12 / $ 47.46

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu 12.10 Server


    

  ","
        
  
  Petersen, Richard

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu -Journal of Conflict Transformation Vol 1 Nos1-2 2012


    

  ","
        
  
  Uzodike, Ufo Okeke; Moolakkattu, John S.;

      ",0,"
        (目前无人评价)
    "
"

    快樂輕鬆學Ubuntu 11.04


    

  ","
        
  
  2011-7 / 180.00元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu for Android


    

  ","
        
  
  Jere, Wade Anastasia

      ",0,"
        (目前无人评价)
    "
"

    Behind the Screen with Ubuntu and Libreoffice


    

  ","
        
  
  Hayes, Steve

      ",0,"
        (目前无人评价)
    "
"

    List of Ubuntu Releases


    

  ","
        
  
  Russell, Jesse; Cohn, Ronald; / Book on Demand Ltd.

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux網管手冊－網路服務、資通安全一手搞定


    

  ","
        
  
  2011-7 / 168.00元

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Font Family


    

  ","
        
  
  Dee Kord, Erwin

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Software Center


    

  ","
        
  
  Reene, Jules

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Netbook Edition


    

  ","
        
  
  Modestus, Jamey Franciscus

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu per tutti! Dall&#039;installazione all&#039;utilizzo della pi&ugrave; diffusa distribuzione Linux


    

  ","
        
  
  Riccardo Cavalieri

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux. Trucchi e segreti


    

  ","
        
  
  Kyle Rankin

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux


    

  ","
        
  
  Francisco Javier Carazo Gil

      ",0,"
        (目前无人评价)
    "
"

    Ubuntu Linux


    

  ","
        
  
  Manuel David Serrat Olmos

      ",0,"
        (目前无人评价)
    "
"

    Omg! Ubuntu!


    

  ","
        
  
  Donatienne Ruby, Christabel

      ",0,"
        (目前无人评价)
    "
"

    Linux Ubuntu per l&#039;uso desktop


    

  ","
        
  
  Alessandro Di Nicola

      ",0,"
        (目前无人评价)
    "
"

    In the Spirit of Ubuntu


    

  ","
        
  
  Caracciolo, Diane M.; Mungai, Anne M.;

      ",0,"
        (目前无人评价)
    "
"

    In the Spirit of Ubuntu


    

  ","
        
  
  Caracciolo, Diane M.; Mungai, Anne M.;

      ",0,"
        (目前无人评价)
    "
"

    Father Love


    
       : We Share 
 : We Share ","
        
  
  Ubuntu Ubuntu / HACHETTE AUSTRALIA / 2009-8 / AUD 14.99

      ",0,"
        (少于10人评价)
    "
"

    Reforming International Institutions


    

  ","
        
  
  UBUNTU Forum Secretariat (EDT) / 865.00 元

      ",0,"
        (目前无人评价)
    "
"

    Reforming International Institutions


    

  ","
        
  
  Secretariat, Ubuntu Forum

      ",0,"
        (目前无人评价)
    "
"

    Linux Bible 2010 Edition


    
       : Boot Up to Ubuntu, Fedora, KNOPPIX, Debian, openSUSE, and 13 Other Distributions 
 : Boot Up to Ubuntu, Fedora, KNOPPIX, Debian, openSUSE, and 13 Other Distributions ","
        
  
  Christopher Negus / Wiley / 2009-12-14 / USD 59.99

      ",0,"
        (少于10人评价)
    "
"

    Linux Bible 2007 Edition


    
       : Boot up Ubuntu, Fedora, KNOPPIX, Debian, SUSE, and 11 Other Distributions 
 : Boot up Ubuntu, Fedora, KNOPPIX, Debian, SUSE, and 11 Other Distributions ","
        
  
  Christopher Negus / Wiley / March 12, 2007 / 452.00元

      ",0,"
        (少于10人评价)
    "
"

    Unbreakable Sticks


    
       : Building & Leading Teams with Ubuntu: Sticks in a Bundle Can Not Be Broken 
 : Building & Leading Teams with Ubuntu: Sticks in a Bundle Can Not Be Broken ","
        
  
  Lorenzen, Dr Michael E.

      ",0,"
        (目前无人评价)
    "
"

    PowerPC Operating Systems


    
       : IBM AIX, Ubuntu, Mac OS X Leopard, Amigaos 4, Mac OS X Tiger, Windows NT 4.0, Otheros, Morphos,  
 : IBM AIX, Ubuntu, Mac OS X Leopard, Amigaos 4, Mac OS X Tiger, Windows NT 4.0, Otheros, Morphos,  ","
        
  
  Source Wikipedia / Books LLC, Wiki Series / 2011-8 / $ 15.98

      ",0,"
        (目前无人评价)
    "
"

    Live CD


    
       : Gnu Hurd, Knoppix, Ubuntu, List of Ubuntu Releases, Opensolaris, Minix 3, Kubuntu, Sidux, Biosla 
 : Gnu Hurd, Knoppix, Ubuntu, List of Ubuntu Releases, Opensolaris, Minix 3, Kubuntu, Sidux, Biosla ","
        
  
  Books, LLC; Books, LLC; / Books LLC

      ",0,"
        (目前无人评价)
    "
"

    Linux進化特區


    
       : Ubuntu 9.04 從入門到精通 
 : Ubuntu 9.04 從入門到精通 ","
",0,"
        (目前无人评价)
    "
"

    Linux進化特區


    
       : Ubuntu 11.04從入門到精通 
 : Ubuntu 11.04從入門到精通 ","
",0,"
        (少于10人评价)
    "
"

    Linux實戰特區


    
       : Ubuntu架站完全攻略 
 : Ubuntu架站完全攻略 ","
",0,"
        (目前无人评价)
    "
"

    Linux進化特區


    
       : Ubuntu 12.04 從入門到精通 
 : Ubuntu 12.04 從入門到精通 ","
",0,"
        (目前无人评价)
    "
"

    Linux進化特區


    
       : Ubuntu 10.04從入門到精通 
 : Ubuntu 10.04從入門到精通 ","
",0,"
        (目前无人评价)
    "
"

    Reconciliation


    
       : The Ubuntu Theology of Desmond Tutu 
 : The Ubuntu Theology of Desmond Tutu ","
        
  
  Michael Jesse Battle / Pilgrim Press / 2009-07 / USD 24.00

      ",0,"
        (目前无人评价)
    "
"

    African Culture


    
       : Old World, Architecture of Madagascar, Architecture of Africa, Ritual Servitude, Traditional Afr 
 : Old World, Architecture of Madagascar, Architecture of Africa, Ritual Servitude, Traditional Afr ","
        
  
  Source Wikipedia、Books, LLC 编 / Books LLC, Wiki Series / 2011-8 / $ 22.59

      ",0,"
        (目前无人评价)
    "
"

    鸟哥的LINUX私房菜


    
       : 基础学习篇 
 : 基础学习篇 ","
        
  
  鸟哥 / 科学出版社 / 2005-6 / 42.00元

      ",8.6,"
        (328人评价)
    "
"

    Linux入门很简单


    

  ","
        
  
  刘金鹏 / 清华大学出版社 / 2012-5 / 39.00元

      ",8.5,"
        (94人评价)
    "
"

    Debian Linux系统配置与管理


    

  ","
        
  
  信息产业部软件与集成电路促进中心 / 电子工业 / 2006-2 / 39.00元

      ",7.3,"
        (50人评价)
    "
"

    The Debian System


    
       : Concepts and Techniques 
 : Concepts and Techniques ","
        
  
  Martin Krafft / No Starch Press / 2005-09-19 / USD 44.95

      ",0,"
        (少于10人评价)
    "
"

    LINUX设备驱动程序


    

  ","
        
  
  Alessandro Rubini / LISOLEG / 中国电力出版社 / 2000-04-01 / 59.00

      ",0,"
        (少于10人评价)
    "
"

    Linux管理与开发实用指南


    

  ","
        
  
  马广飞 / 电子工业出版社 / 2009-10 / 59.00元

      ",0,"
        (少于10人评价)
    "
"

    Linux应用与开发典型实例精讲


    

  ","
        
  
  2010-5 / 35.00元

      ",0,"
        (少于10人评价)
    "
"

    Linux从初学到精通


    

  ","
        
  
  电子工业出版社 / 2011-4 / 62.00元

      ",0,"
        (少于10人评价)
    "
"

    Ovid in English


    

  ","
        
  
  Ovid / Penguin Classics / 1999-2-1 / USD 14.95

      ",0,"
        (目前无人评价)
    "
"

    U.S. Supreme Court Transcript of Record Missouri, K & T R Co V. Evans


    

  ","
        
  
  U. S. Supreme Court

      ",0,"
        (目前无人评价)
    "
"

    Where's Papa?


    

  ","
        
  
  Henry, Nancy / 2008-2 / $ 28.19

      ",0,"
        (目前无人评价)
    "
